case,study_seed,method,class_order,train_counts,curve,task1_accuracy,task5_accuracy,final_accuracy,average_accuracy
case01,2026,traditional_full_update,0 6 2 3 8 4 7 9 5 1,0:5000 1:500 2:2997 3:2321 4:1391 5:646 6:3871 7:1077 8:1797 9:834,95.8500 42.2500 31.4667 22.9500 18.3500,95.850000,18.350000,18.350000,42.173333
case01,2026,tae_ced_top_p,0 6 2 3 8 4 7 9 5 1,0:5000 1:500 2:2997 3:2321 4:1391 5:646 6:3871 7:1077 8:1797 9:834,95.6500 39.4250 30.7000 23.3250 12.0100,95.650000,12.010000,12.010000,40.222000
case02,2027,traditional_full_update,8 6 4 3 2 5 0 9 7 1,0:1077 1:500 2:1797 3:2321 4:2997 5:1391 6:3871 7:646 8:5000 9:834,97.3500 32.1250 26.0000 22.7000 18.7700,97.350000,18.770000,18.770000,39.389000
case02,2027,tae_ced_top_p,8 6 4 3 2 5 0 9 7 1,0:1077 1:500 2:1797 3:2321 4:2997 5:1391 6:3871 7:646 8:5000 9:834,96.9500 40.6750 27.0167 19.6375 16.8300,96.950000,16.830000,16.830000,40.221833
