Training Start
The snr is 1.0, the inner channel is 8, the ratio is 0.17

  0%|          | 0/1000 [00:00<?, ?it/s]
Epoch 0:   0%|          | 0/1000 [00:00<?, ?it/s]
Epoch 0:   0%|          | 0/1000 [00:07<?, ?it/s, lr=0.001, time=7.59, train_loss=893, val_loss=565]
Epoch 0:   0%|          | 1/1000 [00:07<2:06:32,  7.60s/it, lr=0.001, time=7.59, train_loss=893, val_loss=565]
Epoch 1:   0%|          | 1/1000 [00:07<2:06:32,  7.60s/it, lr=0.001, time=7.59, train_loss=893, val_loss=565]
Epoch 1:   0%|          | 1/1000 [00:14<2:06:32,  7.60s/it, lr=0.001, time=7.39, train_loss=491, val_loss=436]
Epoch 1:   0%|          | 2/1000 [00:14<2:04:25,  7.48s/it, lr=0.001, time=7.39, train_loss=491, val_loss=436]
Epoch 2:   0%|          | 2/1000 [00:14<2:04:25,  7.48s/it, lr=0.001, time=7.39, train_loss=491, val_loss=436]
Epoch 2:   0%|          | 2/1000 [00:22<2:04:25,  7.48s/it, lr=0.001, time=7.53, train_loss=416, val_loss=391]
Epoch 2:   0%|          | 3/1000 [00:22<2:04:44,  7.51s/it, lr=0.001, time=7.53, train_loss=416, val_loss=391]
Epoch 3:   0%|          | 3/1000 [00:22<2:04:44,  7.51s/it, lr=0.001, time=7.53, train_loss=416, val_loss=391]
Epoch 3:   0%|          | 3/1000 [00:29<2:04:44,  7.51s/it, lr=0.001, time=7.12, train_loss=379, val_loss=375]
Epoch 3:   0%|          | 4/1000 [00:29<2:02:07,  7.36s/it, lr=0.001, time=7.12, train_loss=379, val_loss=375]
Epoch 4:   0%|          | 4/1000 [00:29<2:02:07,  7.36s/it, lr=0.001, time=7.12, train_loss=379, val_loss=375]
Epoch 4:   0%|          | 4/1000 [00:36<2:02:07,  7.36s/it, lr=0.001, time=7.33, train_loss=356, val_loss=340]
Epoch 4:   0%|          | 5/1000 [00:36<2:01:53,  7.35s/it, lr=0.001, time=7.33, train_loss=356, val_loss=340]
Epoch 5:   0%|          | 5/1000 [00:36<2:01:53,  7.35s/it, lr=0.001, time=7.33, train_loss=356, val_loss=340]
Epoch 5:   0%|          | 5/1000 [00:44<2:01:53,  7.35s/it, lr=0.001, time=7.41, train_loss=340, val_loss=336]
