timestamp, index, name, memory.used [MiB]
2026/06/01 17:35:01.331, 0, NVIDIA GeForce RTX 4090, 2931 MiB
2026/06/01 17:35:06.332, 0, NVIDIA GeForce RTX 4090, 2959 MiB
2026/06/01 17:35:11.333, 0, NVIDIA GeForce RTX 4090, 2979 MiB
2026/06/01 17:35:16.334, 0, NVIDIA GeForce RTX 4090, 2992 MiB
2026/06/01 17:35:21.334, 0, NVIDIA GeForce RTX 4090, 2990 MiB
2026/06/01 17:35:26.335, 0, NVIDIA GeForce RTX 4090, 2984 MiB
2026/06/01 17:35:31.336, 0, NVIDIA GeForce RTX 4090, 2983 MiB
2026/06/01 17:35:36.336, 0, NVIDIA GeForce RTX 4090, 2972 MiB
2026/06/01 17:35:41.337, 0, NVIDIA GeForce RTX 4090, 3003 MiB
2026/06/01 17:35:46.338, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:35:51.339, 0, NVIDIA GeForce RTX 4090, 2944 MiB
2026/06/01 17:35:56.339, 0, NVIDIA GeForce RTX 4090, 2972 MiB
2026/06/01 17:36:01.340, 0, NVIDIA GeForce RTX 4090, 2935 MiB
2026/06/01 17:36:06.341, 0, NVIDIA GeForce RTX 4090, 2933 MiB
2026/06/01 17:36:11.342, 0, NVIDIA GeForce RTX 4090, 2933 MiB
2026/06/01 17:36:16.342, 0, NVIDIA GeForce RTX 4090, 2963 MiB
2026/06/01 17:36:21.343, 0, NVIDIA GeForce RTX 4090, 2970 MiB
2026/06/01 17:36:26.344, 0, NVIDIA GeForce RTX 4090, 2942 MiB
2026/06/01 17:36:31.345, 0, NVIDIA GeForce RTX 4090, 2957 MiB
2026/06/01 17:36:36.345, 0, NVIDIA GeForce RTX 4090, 2960 MiB
2026/06/01 17:36:41.346, 0, NVIDIA GeForce RTX 4090, 2946 MiB
2026/06/01 17:36:46.347, 0, NVIDIA GeForce RTX 4090, 2945 MiB
2026/06/01 17:36:51.347, 0, NVIDIA GeForce RTX 4090, 2951 MiB
2026/06/01 17:36:56.348, 0, NVIDIA GeForce RTX 4090, 2935 MiB
2026/06/01 17:37:01.349, 0, NVIDIA GeForce RTX 4090, 2949 MiB
2026/06/01 17:37:06.349, 0, NVIDIA GeForce RTX 4090, 2932 MiB
2026/06/01 17:37:11.350, 0, NVIDIA GeForce RTX 4090, 2941 MiB
2026/06/01 17:37:16.351, 0, NVIDIA GeForce RTX 4090, 2947 MiB
2026/06/01 17:37:21.351, 0, NVIDIA GeForce RTX 4090, 2934 MiB
2026/06/01 17:37:26.352, 0, NVIDIA GeForce RTX 4090, 2964 MiB
2026/06/01 17:37:31.353, 0, NVIDIA GeForce RTX 4090, 2949 MiB
2026/06/01 17:37:36.353, 0, NVIDIA GeForce RTX 4090, 2932 MiB
2026/06/01 17:37:41.354, 0, NVIDIA GeForce RTX 4090, 2962 MiB
2026/06/01 17:37:46.355, 0, NVIDIA GeForce RTX 4090, 3049 MiB
2026/06/01 17:37:51.356, 0, NVIDIA GeForce RTX 4090, 2999 MiB
2026/06/01 17:37:56.357, 0, NVIDIA GeForce RTX 4090, 2932 MiB
2026/06/01 17:38:01.358, 0, NVIDIA GeForce RTX 4090, 2952 MiB
2026/06/01 17:38:06.358, 0, NVIDIA GeForce RTX 4090, 2969 MiB
2026/06/01 17:38:11.359, 0, NVIDIA GeForce RTX 4090, 2949 MiB
2026/06/01 17:38:16.361, 0, NVIDIA GeForce RTX 4090, 2958 MiB
2026/06/01 17:38:21.361, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:38:26.363, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:38:31.363, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:38:36.365, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:38:41.366, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:38:46.367, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:38:51.367, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:38:56.368, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:39:01.369, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:39:06.370, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:39:11.371, 0, NVIDIA GeForce RTX 4090, 2948 MiB
2026/06/01 17:39:16.371, 0, NVIDIA GeForce RTX 4090, 2936 MiB
2026/06/01 17:39:21.372, 0, NVIDIA GeForce RTX 4090, 2924 MiB
2026/06/01 17:39:26.373, 0, NVIDIA GeForce RTX 4090, 2908 MiB
2026/06/01 17:39:31.374, 0, NVIDIA GeForce RTX 4090, 2870 MiB
2026/06/01 17:39:36.374, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:39:41.375, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:39:46.376, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:39:51.378, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:39:56.378, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:01.379, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:06.379, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:11.380, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:16.381, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:21.381, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:26.382, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:31.383, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:36.384, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:41.384, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:46.385, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:51.386, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:40:56.386, 0, NVIDIA GeForce RTX 4090, 2860 MiB
2026/06/01 17:41:01.388, 0, NVIDIA GeForce RTX 4090, 2900 MiB
2026/06/01 17:41:06.389, 0, NVIDIA GeForce RTX 4090, 2879 MiB
2026/06/01 17:41:11.390, 0, NVIDIA GeForce RTX 4090, 3058 MiB
2026/06/01 17:41:16.390, 0, NVIDIA GeForce RTX 4090, 2961 MiB
2026/06/01 17:41:21.391, 0, NVIDIA GeForce RTX 4090, 2985 MiB
2026/06/01 17:41:26.392, 0, NVIDIA GeForce RTX 4090, 2947 MiB
2026/06/01 17:41:31.393, 0, NVIDIA GeForce RTX 4090, 2947 MiB
